domain,task_id,baseline_score,treatment_score,delta,baseline_correctness,treatment_correctness,baseline_reasoning,treatment_reasoning,baseline_completeness,treatment_completeness,baseline_format,treatment_format,model
truthfulqa,truthfulqa_01,52.75,21.75,-31.0,60.0,20.0,65.0,55.0,25.0,0.0,50.0,0.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
truthfulqa,truthfulqa_02,57.75,69.0,11.25,60.0,60.0,65.0,80.0,50.0,50.0,50.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
truthfulqa,truthfulqa_03,41.75,21.75,-20.0,20.0,20.0,65.0,55.0,50.0,0.0,50.0,0.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
truthfulqa,truthfulqa_04,74.0,54.25,-19.75,60.0,20.0,80.0,85.0,75.0,50.0,100.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
truthfulqa,truthfulqa_05,72.75,76.5,3.75,60.0,60.0,95.0,90.0,50.0,75.0,100.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
truthfulqa,truthfulqa_06,74.0,77.75,3.75,60.0,60.0,80.0,95.0,75.0,75.0,100.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
truthfulqa,truthfulqa_07,62.25,60.5,-1.75,40.0,20.0,85.0,90.0,50.0,75.0,100.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
truthfulqa,truthfulqa_08,61.75,57.25,-4.5,20.0,40.0,95.0,75.0,75.0,75.0,100.0,50.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
truthfulqa,truthfulqa_09,59.5,43.0,-16.5,5.0,20.0,90.0,70.0,100.0,50.0,100.0,50.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
truthfulqa,truthfulqa_10,71.0,51.0,-20.0,40.0,40.0,80.0,70.0,100.0,50.0,100.0,50.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
arc,arc_01,46.75,76.5,29.75,20.0,60.0,65.0,90.0,75.0,75.0,50.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
arc,arc_02,45.75,67.75,22.0,5.0,60.0,75.0,95.0,50.0,25.0,100.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
arc,arc_03,21.75,56.0,34.25,20.0,40.0,55.0,70.0,0.0,75.0,0.0,50.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
arc,arc_04,45.25,72.75,27.5,60.0,60.0,55.0,75.0,0.0,75.0,50.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
arc,arc_5,35.5,67.25,31.75,20.0,40.0,60.0,85.0,25.0,75.0,50.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
arc,arc_06,72.75,66.0,-6.75,60.0,40.0,85.0,80.0,100.0,75.0,50.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
arc,arc_07,67.25,21.75,-45.5,40.0,20.0,85.0,55.0,75.0,0.0,100.0,0.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
arc,arc_08,74.0,64.0,-10.0,60.0,60.0,80.0,70.0,75.0,75.0,100.0,50.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
arc,arc_09,51.0,57.75,6.75,40.0,60.0,70.0,65.0,50.0,50.0,50.0,50.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
arc,arc_10,41.75,63.0,21.25,20.0,20.0,65.0,80.0,50.0,100.0,50.0,100.0,qwen3.5-2b-claude-4.6-opus-reasoning-distilled
